;3 - Grosso Fabio;10 - De Rossi Daniele;2 - Panucci Christian;1 - Buffon Gianluigi;6 - Barzagli Andrea;9 - Toni Luca;18 - Cassano Antonio;23 - Materazzi Marco;8 - Gattuso Gennaro;15 - Quagliarella Fabio;21 - Pirlo Andrea;16 - Camoranesi Mauro;4 - Chiellini Giorgio;11 - Di Natale Antonio;13 - Ambrosini Massimo;19 - Zambrotta Gianluca;20 - Perrotta Simone;22 - Aquilani Alberto;7 - Del Piero Alessandro
3 - Grosso Fabio;1;24;7;10;;7;9;;6;;20;10;35;3;24;3;8;8;1
10 - De Rossi Daniele;26;4;12;3;;3;3;;17;;15;5;23;1;9;12;9;9;
2 - Panucci Christian;9;8;;14;4;2;2;1;11;;3;4;22;;10;9;3;2;
1 - Buffon Gianluigi;1;2;5;;4;;;;;;;;5;1;;2;;2;
6 - Barzagli Andrea;1;;4;2;;;;2;6;;4;2;;;2;1;;;
9 - Toni Luca;16;4;13;9;2;;11;;4;;6;7;2;3;4;11;3;5;2
18 - Cassano Antonio;22;12;9;;;2;1;;8;1;19;4;3;;18;7;3;3;4
23 - Materazzi Marco;;;1;;2;;;;1;;3;1;;;1;2;;;
8 - Gattuso Gennaro;3;11;8;1;7;1;8;1;;;7;9;;1;9;13;1;;1
15 - Quagliarella Fabio;;1;;1;;;;;;;;1;;;;1;;;
21 - Pirlo Andrea;15;21;8;5;7;5;7;3;10;3;12;11;3;2;9;16;1;;1
16 - Camoranesi Mauro;16;9;11;2;1;5;3;2;6;;15;3;3;4;8;16;3;2;2
4 - Chiellini Giorgio;18;9;18;22;;;;;;;6;4;;;6;1;2;2;
11 - Di Natale Antonio;1;3;3;2;;4;;1;1;;;7;;;2;9;;;1
13 - Ambrosini Massimo;24;14;3;3;7;5;9;3;2;;11;4;8;3;;6;2;5;1
19 - Zambrotta Gianluca;2;24;17;9;2;1;5;5;6;;12;9;7;4;4;;4;5;1
20 - Perrotta Simone;12;10;1;;;6;2;;5;;1;2;2;;3;3;;3;2
22 - Aquilani Alberto;5;11;9;1;;1;4;;;;;2;2;;3;7;2;;
7 - Del Piero Alessandro;6;1;;;;6;2;;1;;5;3;1;;3;4;2;;3
